method,constraints,example_idx,db_id,pred_sql,committed_tokens,tokens_proposed,tokens_accepted,tokens_constraint_rejected,xgrammar_rejects,z3_rejects,wall_time_s,xgrammar_time_s,z3_time_s,throughput,goodput,goodput_correct,useful_frac,n_useful,n_useful_correct,executable,exec_error,exec_correct,exec_acc,acc_len_mean,acc_rate,width,gamma,w_thres,min_w,extra_sample_cnt
ar_target,none,0,concert_singer,SELECT count(*) FROM singer,64,64,64,0,0,0,4.249026814,0.0,0.0,15.062272563008591,15.062272563008591,15.062272563008591,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,1,concert_singer,SELECT count(*) FROM singer,64,64,64,0,0,0,3.862319386,0.0,0.0,16.570354132800347,16.570354132800347,16.570354132800347,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,2,concert_singer,"SELECT singer.Name, singer.Country, singer.Age FROM singer ORDER BY singer.Age DESC",64,64,64,0,0,0,3.93047101,0.0,0.0,16.283035757589776,16.283035757589776,16.283035757589776,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,3,concert_singer,"SELECT name,country,age FROM singer ORDER BY age DESC",64,64,64,0,0,0,3.93270845,0.0,0.0,16.273771832742902,16.273771832742902,16.273771832742902,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,4,concert_singer,"SELECT average(age), min(age), max(age) FROM singer WHERE country = ""France""",64,64,64,0,0,0,3.932535092,0.0,0.0,16.27448922965644,0.0,0.0,0.0,0,0,0,OperationalError: no such function: average,0,0.0,0.0,0.0,,,,,
ar_target,none,5,concert_singer,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country='France' Schema: Table country, columns = [*,Country_ID,Country_name,Area_in_square_miles,Population,Continent_ID,Is_independent] Table city, columns = [*,City_ID,city_name,",64,64,64,0,0,0,3.933207086,0.0,0.0,16.271708710127143,0.0,0.0,0.0,0,0,0,"OperationalError: near ""Schema"": syntax error",0,0.0,0.0,0.0,,,,,
ar_target,none,6,concert_singer,"SELECT singer.Name, singer.Song_Name, singer.Song_release_year FROM singer WHERE singer.Age = (SELECT MIN(singer.Age) FROM singer) Schema: Table book, columns = [*,Book_ID,Book_Name,Genre,Author,Publication_date] Table author, columns = [*,Author_ID,Name,C",64,64,64,0,0,0,3.936323366,0.0,0.0,16.258826841514118,0.0,0.0,0.0,0,0,0,"OperationalError: near ""Schema"": syntax error",0,0.0,0.0,0.0,,,,,
ar_target,none,7,concert_singer,"SELECT singer.name,song_name,Song_release_year FROM singer,singer_in_concert,concert,Stadium WHERE singer.Singer_ID = singer_in_concert.Singer_ID AND singer_in_concert.concert_ID = concert.concert_ID AND stadium.Stadium_ID = concert.Stadium_ID AND singer.age = (SELECT",64,64,64,0,0,0,3.933374501,0.0,0.0,16.27101614243164,0.0,0.0,0.0,0,0,0,OperationalError: incomplete input,0,0.0,0.0,0.0,,,,,
ar_target,none,8,concert_singer,SELECT DISTINCT country FROM singer WHERE age > 20,64,64,64,0,0,0,3.932157614,0.0,0.0,16.276051542831162,16.276051542831162,16.276051542831162,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,9,concert_singer,select distinct country from singer where age > 20,64,64,64,0,0,0,3.931698781,0.0,0.0,16.277950973579426,16.277950973579426,16.277950973579426,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,10,concert_singer,"SELECT Country, COUNT(*) AS Num_singers FROM singer GROUP BY Country",64,64,64,0,0,0,3.932461151,0.0,0.0,16.274795234461553,16.274795234461553,16.274795234461553,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,11,concert_singer,"SELECT country,count(*) FROM singer GROUP BY country",64,64,64,0,0,0,3.863930237,0.0,0.0,16.563446044432297,16.563446044432297,16.563446044432297,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,12,concert_singer,SELECT s.Song_Name FROM singer s WHERE s.Age > (SELECT avg(s.Age) FROM singer),64,64,64,0,0,0,3.926554128,0.0,0.0,16.29927868397896,0.0,0.0,0.0,0,0,0,OperationalError: misuse of aggregate: avg(),0,0.0,0.0,0.0,,,,,
ar_target,none,13,concert_singer,SELECT DISTINCT s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(s2.Age) FROM singer s2),64,64,64,0,0,0,3.932298832,0.0,0.0,16.275467031952164,16.275467031952164,16.275467031952164,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,14,concert_singer,"SELECT location, name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",64,64,64,0,0,0,3.936340439,0.0,0.0,16.258756322473662,16.258756322473662,16.258756322473662,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,15,concert_singer,"select stadium.location, stadium.name from stadium where stadium.capacity between 5000 and 10000",64,64,64,0,0,0,3.935517677,0.0,0.0,16.262155389119346,16.262155389119346,16.262155389119346,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,16,concert_singer,"SELECT MAX(capacity) FROM stadium, SELECT AVG(capacity) FROM stadium",64,64,64,0,0,0,3.932517581,0.0,0.0,16.274561697884497,0.0,0.0,0.0,0,0,0,"OperationalError: near ""SELECT"": syntax error",0,0.0,0.0,0.0,,,,,
ar_target,none,17,concert_singer,"SELECT avg(capacity),max(capacity) FROM stadium",64,64,64,0,0,0,3.931104084,0.0,0.0,16.28041350023944,16.28041350023944,16.28041350023944,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,18,concert_singer,"select stadium.name, stadium.capacity from concert, stadium where stadium.stadium_ID = concert.stadium_ID group by stadium.name, stadium.capacity order by average desc limit 1",36,36,36,0,0,0,2.313610582,0.0,0.0,15.560094805963331,15.560094805963331,15.560094805963331,1.0,36,36,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,19,concert_singer,"SELECT concert.Stadium_ID, stadium.Name, stadium.Capacity FROM concert JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID WHERE concert.Year = 2017 AND stadium.Highest = (SELECT MAX(s.Stadium_ID) FROM stadium s)",64,64,64,0,0,0,3.934262621,0.0,0.0,16.267343125084178,16.267343125084178,0.0,1.0,64,0,1,,0,0.0,0.0,0.0,,,,,
ar_target,none,20,concert_singer,select count(*) from concert where year=2014 or year=2015,64,64,64,0,0,0,3.935870684,0.0,0.0,16.260696841532713,16.260696841532713,16.260696841532713,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,21,concert_singer,"SELECT count(*) FROM concert WHERE Year IN (2014,2015)",64,64,64,0,0,0,3.934411071,0.0,0.0,16.26672933891813,16.26672933891813,16.26672933891813,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,22,concert_singer,"SELECT s.name, count(*) FROM concert c join singer_in_concert sic on c.concert_ID = sic.concert_ID join singer s on sic.Singer_ID = s.Singer_ID join stadium st on c.Stadium_ID = st.Stadium_ID group by s.name",64,64,64,0,0,0,3.931084896,0.0,0.0,16.280492966489216,16.280492966489216,0.0,1.0,64,0,1,,0,0.0,0.0,0.0,,,,,
ar_target,none,23,concert_singer,"SELECT stadium.Location, concert.concert_Name, count(*) AS number_of_concerts FROM stadium,concert,singer_in_concert WHERE stadium.Stadium_ID = concert.Stadium_ID AND concert.concert_ID = singer_in_concert.concert_ID GROUP BY stadium.Location, concert.concert_Name Schema: Table movie,",64,64,64,0,0,0,3.935737317,0.0,0.0,16.261247854006616,0.0,0.0,0.0,0,0,0,"OperationalError: near ""Schema"": syntax error",0,0.0,0.0,0.0,,,,,
ar_target,none,24,concert_singer,"select Stadium.name, Stadium.Capacity from stadium inner join concert on stadium.Stadium_ID = concert.Stadium_ID where concert.Year >= 2014 group by Stadium.name,Stadium.Capacity order by count(*) desc limit 1",64,64,64,0,0,0,3.937100039,0.0,0.0,16.255619457476527,16.255619457476527,16.255619457476527,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,25,concert_singer,"SELECT stadium.Name,Stadium.Capacity FROM concert JOIN singer_in_concert USING (concert_ID) JOIN stadium USING (Stadium_ID) WHERE concert.Year > 2013 AND Stadium.Capacity IN (SELECT MAX(Stadium.Capacity) FROM concert JOIN singer_in_concert USING (concert_ID) JOIN stadium USING",64,64,64,0,0,0,3.93668896,0.0,0.0,16.257316910300172,0.0,0.0,0.0,0,0,0,OperationalError: incomplete input,0,0.0,0.0,0.0,,,,,
ar_target,none,26,concert_singer,"SELECT year, count(*) FROM concert GROUP BY year ORDER BY count(*) DESC LIMIT 1",64,64,64,0,0,0,3.868694142,0.0,0.0,16.543049838236605,16.543049838236605,0.0,1.0,64,0,1,,0,0.0,0.0,0.0,,,,,
ar_target,none,27,concert_singer,SELECT max(concert.Year) FROM concert,64,64,64,0,0,0,3.930010347,0.0,0.0,16.284944401954267,16.284944401954267,16.284944401954267,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,28,concert_singer,SELECT DISTINCT stadium.name FROM stadium LEFT JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.concert_ID IS NULL,64,64,64,0,0,0,3.867857293,0.0,0.0,16.54662908991663,16.54662908991663,16.54662908991663,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,29,concert_singer,SELECT Name FROM stadium WHERE concert_ID = 0,64,64,64,0,0,0,3.931771707,0.0,0.0,16.277649052221538,0.0,0.0,0.0,0,0,0,OperationalError: no such column: concert_ID,0,0.0,0.0,0.0,,,,,
ar_target,none,30,concert_singer,SELECT country FROM singer WHERE age > 40 AND age < 30,64,64,64,0,0,0,3.933820423,0.0,0.0,16.269171725737415,16.269171725737415,0.0,1.0,64,0,1,,0,0.0,0.0,0.0,,,,,
ar_target,none,31,concert_singer,SELECT stadium.name FROM stadium WHERE stadium.concert_ID NOT IN (SELECT singer_in_concert.concert_ID FROM singer_in_concert WHERE singer_in_concert.Year = 2014),64,64,64,0,0,0,3.934259334,0.0,0.0,16.267356716144732,0.0,0.0,0.0,0,0,0,OperationalError: no such column: singer_in_concert.Year,0,0.0,0.0,0.0,,,,,
ar_target,none,32,concert_singer,SELECT * FROM stadium WHERE concert_ID NOT IN (SELECT concert_ID FROM concert WHERE Year = 2014),64,64,64,0,0,0,3.932927039,0.0,0.0,16.27286734926892,0.0,0.0,0.0,0,0,0,OperationalError: no such column: concert_ID,0,0.0,0.0,0.0,,,,,
ar_target,none,33,concert_singer,"SELECT concert_name,theme, count(*) FROM concert, singer_in_concert, singer WHERE concert.concert_ID = singer_in_concert.concert_ID AND singer_in_concert.Singer_ID = singer.Singer_ID GROUP BY concert_name, theme",64,64,64,0,0,0,3.934750013,0.0,0.0,16.2653281119641,16.2653281119641,16.2653281119641,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
ar_target,none,34,concert_singer,"SELECT concert.concert_ID,concert.concert_Name,concert.Theme,CONCAT(singer.Name, "" "", singer.Song_Name) AS Singer FROM concert INNER JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID INNER JOIN singer ON singer_in_concert.Singer_ID = singer.S",64,64,64,0,0,0,3.933102076,0.0,0.0,16.27214314892345,0.0,0.0,0.0,0,0,0,OperationalError: no such column: singer.S,0,0.0,0.0,0.0,,,,,
ar_target,none,35,concert_singer,"SELECT Singer_Name,count(*) FROM singer_in_concert INNER JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID GROUP BY Singer_Name",64,64,64,0,0,0,3.931274248,0.0,0.0,16.279708807534714,0.0,0.0,0.0,0,0,0,OperationalError: no such column: Singer_Name,0,0.0,0.0,0.0,,,,,
ar_target,none,36,concert_singer,"SELECT singer.name, count(*) as count_concert FROM singer_in_concert, singer WHERE singer_in_concert.Singer_ID = singer.Singer_ID GROUP BY singer_in_concert.Singer_ID",64,64,64,0,0,0,3.930489444,0.0,0.0,16.2829593901334,16.2829593901334,16.2829593901334,1.0,64,64,1,,1,1.0,0.0,0.0,,,,,
